sentiment,review_body,product_category
0,Very cute top and nice material  but the fit is strange. there's a reason that the model has her arms at her side. the shoulders fit perfectly in my usual small  but the body is very loose. the sleeves are full  probably twice as full as seen in the pictures which adds interest but was unexpected. also  the arm hole is wide  so the bottom seam of the sleeve attaches low on the body of the shirt  which creates an awkward silhouette. i normally love designs by whit  but i'm not sure about this one,Blouses
0,This is a beautiful top  however it looks better on the 80 pound model. the shirt sits awkward on your chest if you have any cleavage and there is way too much fabric around the body. if you are any size beyond a 2 then it just makes you look bigger than you are.,Blouses
1,Colors are very vibrant! lays very nicely on the body.,Blouses
1,This is a great top. easy breezy and perfect for fall in miami. perfect top for spring too. love the whimsical pattern. a great addition to any wardrobe.,Blouses
1,I adore this top. the fit is amazing. the colors are vibrant and will transition beautifully into spring. i think it looks great with skinny jeans. i am built small up top size m and the 6 fit perfectly. the buttons did not gape at all.,Blouses
1,This is a great top to pair with jeans to step a casual night up a notch.,Blouses
1,I'm in love with this print! the fabric is very soft too. as others have noted it is small in some odd spots and a little big in others  but overall my usual size worked out great. i wear it with a cute belt to enhance an hourglass look  because it's pretty drapey. really versatile  lovely tunic.,Blouses
1,"I ordered this in the burgundy and am in love with the print and color  very feminine without being over the top.  i'm 5'4""  123lbs  34a and the 2 fit perfect. the cut is drapey without being maternity like and i appreciate that's it not as long and full as many of the other tops out there  making it easier to wear with some pants or skirts. it even has little snaps to hold your bra strap in place  although i doubt i would use those. this top is appropriate for any age without looking too girly",Blouses
1,This shirt is very flattering and drapes beautifully. i am 5'7 175 and the medium fits perfectly. i bought in navy but am disappointed in the other options - i would have bought all of them had they been nice colors but the yellow and orange are really garish and unflattering on any skin tone and the white way too see-through which ruins the visual lines of the top. bummer! but i wear the navy every day so give that a thumbs-up.,Blouses
1,"I tried the 4 and felt it ran a bit big  i'm 34a-28-26  5'6"" about 130lbs and expected to take a 6. the 4 was ideal.  love the concept but thought the material was too stiff to be a 'swing' tank. the pleats in the back poke up when you move or bend as if you've got little horns coming out of your back. i think a chambray  like cloth and stone produces might have rendered this super cute design better (imo).  it has a trapeze shape  i wouldn't plan on tucking it in.  finally  you mightn't want to",Blouses
1,I bought this shirt along with a matching vest and duster........love it!,Blouses
-1,I was really excited when i ordered this dress for na upcoming beach vacation but was very disappointed when i finally saw it in person. it reminded me of those christmas nightgowns from the 90s with the red and white ruffles. pass!,Dresses
-1,The dress is too loose and runs too big,Dresses
-1,"Oh  i wanted this dress to work! i bought it in green  red and the solid blue. all ran really small. i *just* fit in a 10  when i would normally take a 6 in retailer sizes (5'8"" and 140 lbs). as with many other reviewers  i also noticed that the zipper was a huge flaw. it took a long  slow motion to get it zipped because it would get stuck on the fabric variations. such a cute style  was really bummed it didn't work. i kept ordering it in other colors thinking i would hit the jackpot  but they wer",Dresses
-1,I ordered a size 12 and it was huge on me! very loose fitting dress. i didn't like the material either.,Dresses
-1,I got this dress in the mail today and really thought i was going to love it. the color is a beautiful rich red  which was a nice surprise. i was expecting more of a dusty red from the picture. love the fabric - soft and appears to be good quality. the length is perfect - hit right at my knees (size small). the flow of the dress is great as well. the ultimate flaw would be the arm and neck holes. the neck hole was choking me but yet a little loose at the back of the neck - almost like it was on,Dresses
-1,Awful color  horribly wrinkled and just a mess...so disappointed,Dresses
-1,Looks great  the material feels great but when i put this dress on for the first time today it fell apart at the seams in the rib cage area. total disappointment! i had purchased this on sale for my graduation and was getting ready to walk out the door when i saw two holes on each side!,Dresses
-1,I have to agree that the fit is unfortunate. i am using a size 2 in retailer and most dresses. i knew to size up based on reviews here. i tried the size 4 and i could barely button the top. the waist fit fine and the underarms was fitted nicely to the body. i sized up to a size 6 and the dress was oversized in the top  with gaping armholes. too bad because the color is beautiful and the style is adorable.,Dresses
-1,"I love this dress as far as the fit goes. it makes my curvy figure loook even better with how it's cut. that being said the different patterns over each boob made the dress look crazy. it makes you look quite lopsided in the chest. wasn't just me  but my store people also agreed. had the pattern on the chest been the same it would be great  but even though my boobs are of ""mostly"" equal size  they looked too crazy. it's quite noticeable on. so sad:(",Dresses
0,"Such a cute dress but it runs large. i'm 5'4"" 130 lbs and am typically a size 4 can wear a size 2 in certain clothes. i tried on the xs and it was still too big. i would of bought it in an xxs but they are sold out. really a comfy laid back dress that would be comfortable in summer. if they get more xxs i'll buy it.",Dresses
0,I've rarely met a maeve item i didnt like. initially looking at this dress i thought it was suede but it's a structured cotton  making it a little more stiff than i'd like. i feel that making it suede would've been perfect for this dress. i am 5'2 140 lbs. usually a 4-6  i tried on the 6 and it was a great fit except for the chest area (34d) and the butt/hips area  making this dress a little less shift and a little baggy in the abdominal region. i then tried on the 8 and it was way too big all a,Dresses
0,So many things to love: love the mod kind of style  the forgiving pleats and empire waist and the fabric quality. but the neckline is just way too deep. if they didn't pin the one on the model  i'm a monkey's uncle. that super low neckline takes what should be a nice day dress and turns it into something you can't really wear in a church or in front of your dad. i seriously considered altering it  but the waist is already so high  i felt it would ruin the line of the dress.,Dresses
0,I wanted to love this dress. i went into retailer in sb to try it on and when i saw it on the rack it looked beautiful  both the print and the material. then i tried it on and it fit like a tent. i am just under 5'5 and it hit right below my knees  not like shown in the picture here. on that note  i passed on this one due to the fit. i think this would make a fantastic maternity dress though.,Dresses
0,"This is a beautifully made dress and i couldn't wait to put it on. i was disappointed. i am 5'5"" and a size 4- 6. i ordered the 6 and it was too 'long and heavy' looking on me. but the waist and upper body fit tightly. the zipper up the back was very heavy looking and the cut away shoulders didn't work for my body type  making me look bulky on top. the torso is really built for someone with small breasts - i am average and the way the darts are  made my breasts look flatter and lower than they a",Dresses
0,The fit  once you get it on is as flattering as can be. its beautiful quality is undeniable. the problem and it's a big one...you can't get it on without destroying your nails. the beautiful little buttons running up the bodice are impossible to get done and undone. 'dear designer  you forgot the zipper. sincerely  women everywhere'. i loved it so much but just couldn't buy an outfit that was going to take me 20 minutes to put on and since it is a jumper it would be a process throughout wearing,Dresses
0,"The colors of this dress are beautiful and i really wanted to love it but it wasn't cut for my body shape. i think you either need to be curvy to fill out the chest or straight up&down to have it lay flat (as in the model). ordered size 6: 34b  150 5' 9""  tall/slim build. i also think the hi/lo hem of the dress isn't well indicated in the pictures; i'm not a fan of the style and was hoping it would be minimal however the hem is definitely asymmetric.",Dresses
0,I love maeve dresses but there are several issues with this one (for my taste). 1) the fabric and color closely resembles my medical scrubs  2) the zipper is cheap and barely goes up or down  even when it's just on the hanger. 3) the bow is really cute but doesn't make up for the other shortcomings.,Dresses
0,This dress was an adorable a-line in the front and a shift dress (no pleats) in the back. tack onto that a high-low hemline and it's just trying to be too many things. would've loved to see this dress as a true a-line/fit-and-flare. it would've been perfect. fits true to size.,Dresses
1,The dress i received has a blue lining under the patterned chiffon  unlike the white lining that is pictured. the back of the dress is more open than it appears in the pictures so the blue lining and the large exposed zipper is a significant portion of the dress design. also  the arm holes are cut short which makes the dress feel awkward on. the quality of the dress is very high.,Dresses
1,I didn't really pay this dress much attention online or even in store. an associate suggested i try it on. it's so much cuter on than it appears online. the button detail is great and i love the pockets. it does bunch up a little but not too bad. i tried on my normal size 2 or 4 and the 4 fit me perfectly. it was a tad long and maybe the petite will be better. i have fairly sensitive skin and the wool pieces were a bit itchy so i had to take it back. but if you aren't sensitive then this is for,Dresses
1,"I tried this on a whim during the sale with no real intentions of buying but the moment i put this on i feel in love! the denim is soooooooo soft. it is heaven! seriously one of the most comfortable pieces i have ever tried on. the fit is very flattering and it can be worn multi seasons so..... it went home! that night i put it on and walked doen the stairs and my two year old daughter said ""mommy is so pretty""! . score! this dress is so simple and can be styled so many ways. plus it seems very",Dresses
1,This is a very pretty dress and looks just as it's pictured.  however  there is a lot of fabric - the lower half is very full and runs very large.,Dresses
1,What a great fit! it is casual  but can be dressed up. i could have done the extra small  but the small isn't too big and is still flattering.,Dresses
1,I ordered this dress in the green  and i love it. it does run a little large so i went down one size  which was ok by me!! it is super cute!!,Dresses
1,"It's a nice casual dress that you can also dress up  but unfortunately it is going back. i got a small since dolan dresses always run large  but i usually get a petite. i should've known this wouldn't work. i wanted to love it because the top looks great  but the length is too long making the waist fall lower than i would like giving my middle a thick appearance.i'm thin  but i'm not skinny  5'3"" with an athletic build and a short torso with a decent size bust...if that helps. usually i can wear",Dresses
1,You can?t go wrong with this one. it?s is super flattering. the size medium fit perfectly. for reference  i have a 38in chest (32 ff) and in the medium i was not over exposed  and it can be worn with a racing back bra with it not showing. i wish it came i more colors. please retailer?make this one in more colors.,Dresses
1,This is a very beautiful summer dress with plenty of lightweight fabric. i loved the colors and the design. i know that some other reviewer complained that this is polyester  and it is  but it feels like chiffon. the only two complaints i have are- 1. the dress is large  so go a size smaller than you would normally  and 2. this is dry clean only! if this is polyester  why would they suggest that it should be dry cleaned only? that is going to take a chunk out of the budget to get it cleaned. oth,Dresses
-1,The sweater was nice but not as long as on the model. it was itchy also. this sweater was not what i had expected. their was nothing exceptional about it to spend that kind of hard earned cash  sorry retailer. i sent it back .,Fine gauge
-1,Much to my surprise when i tried on this sweater i found that it was cut in a bell shape and not at all fitted or straight like in the photo. when i pulled it out of the package i thought i'd ordered the wrong size because the shoulders looked so narrow. but when i tried it on the shoulders fit perfectly  with beautiful detail and high quality material  but the sweater belling out to a very wide shape. it is very wide at the hip and looks out of proportion. it doesn't look anything like the phot,Fine gauge
-1,This sweater did not flatter a sz 12 with 36d chest. it's very well made but not for the curvy girl. this is my very first review and felt compelled to share my thoughts since i heavily rely on others' reviews before i purchase.,Fine gauge
-1,I couldn't even figure out how to wear this sweater the fit was so odd. the arms cut off short and the seams don't hit your shoulders where they should. all the extra fabric around the collar is just confusing and unflattering. moving around in it was not easy. i will return this one!,Fine gauge
-1,Loved the look of the sweater and the the fit was as shown.  however this is a thin cashmere for the price.  returned.,Fine gauge
-1,"This sweater is a cute design but did not work for me. i am 5'9"" and this is way to short/cropped and looks awkward. the quality was so so  it looked stretched out in the front. it's getting returned.",Fine gauge
-1,How cute was this little sweater and comfortable even in the south .... until i washed it! i followed the instructions on the label being careful not to wring it out. first of all  the smell was unbelievable! i washed it three days ago and it is still wet and damp and on top of that  it shrunk. even though i handwashed it  line dried it and pampered it to no end!,Fine gauge
-1,This tunic looks awesome in the picture. however  it is made of an uncomfortable sweater-like material not left of centers normal skin cotton. i was disappointed once i saw this in person. not a great material for summer.,Fine gauge
-1,This hoodie was too thin. you can see right through it. i returned it.,Fine gauge
0,On the mannequin this looked adorable. it is made well but if you have any bustline it just billows out below like a tent and is not flattering. if it had less fullness it would have been really cute.,Fine gauge
0,I guess i am in a comfort clothing mood these days since i have been looking at a lot of them lately! this one is a nice thicker material and i like that the sleeves go all the way down  but i am not a fan of the design. i felt the color scheme was very plain. the neckline comes up higher on me than i would have expected and makes me feel like i am choking. it is not a flattering cut on me and does not accentuate anything i would want it to  nor does it hide imperfections. it truly is comfort we,Fine gauge
0,.unfortunately it hit at the widest part of my hips  so it wasn't very flattering. the point in the back was also kind of odd  and off center. i had to return. pretty color  though.,Fine gauge
0,This shirt is beautiful  however i thought that it was made of a softer  lighter material. it is  instead  made of a thick  heavy material that was unflattering for my shape. ( short torso ann's large bust) it made me look boxy and chunky in the middle. sadly  i'll be returning,Fine gauge
0,This top runs large. i am going to return the medium i ordered for a small.   i wish it came in different colors. i love the style.,Fine gauge
0,"Just got this in the mail yesterday and i want so badly to love it but it's just a little too big and boxy. i'm 5'5""  125lbs and ordered a small but i really wish i'd ordered the xs. not sure if i'll exchange or just return. seems high quality and the pattern is gorgeous. it's basically exactly what i'm looking for until i actually put it on and then it just kind of looks like i'm wearing my grandpa's old sweater.",Fine gauge
0,This is a beautiful tunic. i wanted it to work so much but i couldn't get past the itch factor. also  the sleeves were shorter than i expected. when i wore a light tee underneath  it didn't move well and looked bulky so sadly it went back to the store. if the material doesn't bother you  buy this. would look great w/ tights/leggings and boots.,Fine gauge
0,"Purchased because i wanted a deep red sweater  and this one was the perfect color. unfortunately i am on the curvier side  with 34g chest  155lbs 5' 5""  and the med was too big  (i usually wear m or l at retailer.) also the fit ended up being boxy on my body type.",Fine gauge
0,Overall nice material and styling but be prepare for it to be huge. i purposely sized down and i still felt like i was swimming in this.,Fine gauge
1,I ordered both colors in the xxs p knowing that size goes fast. i used to wear xs or xs petite consistently  but this last year  i have found myself needing the smaller size (vanity sizing?) in this case  the xxs p was perfect for me  length was around mid-thigh (could almost wear as a dress if i were younger and not as muscular in my thighs)  the waist and chest are fitted but not snug (fitted in the sense that it follows my natural curves). the flower patterns are so cute  it does cut at the p,Fine gauge
1,Comfortable and great fit and color. high quality.,Fine gauge
1,Love this preppy sweater for fall. only detail i wasn't crazy about was the deep slits in the sides  it gapes a little oddly then around the pocket but not enough of a distraction for me to send it back.,Fine gauge
1,This reminds me of the 1970's. the fabric is soft and it looks just like the picture. i'm ordering it in line in a petite. my store doesn't carry petites. it's typical moth quality and fit. perfect.,Fine gauge
1,I love this sweater! it does run a little large though. fits beautifully. great for cool summer nights and early fall. dress up or down.,Fine gauge
1,I love this sweater!! i like sweaters that are narrow on top and taper out so it doesn't look like a sack on me. plus  it is the perfect weight. i wish i would have bought one in a different color because it is so comfortable.,Fine gauge
1,"This is a beautiful sweater/tunic/dress. i ordered in the mustard color  and wearing it will brighten my day on a dreary winter morning. it is so hard to find winter clothes in bright colors. the sweater is soft and not itchy. it is a bit longer than i expected...maybe 35"" (i am 5'7"")  but that is just fine! it can be worn with leggings or tights. dressed up or dressed down. i couldn't be more pleased.",Fine gauge
1,Very pretty sweater! i love the bell sleeves with the design on the sides. the sweater runs a bit short though and wish it hung a little longer. looks great with flare jeans and boots!,Fine gauge
1,Runs true to size but some details were not as expected. the slit is only on one side and the look is more like sweater dress than sweater tunic. the length is not as long as pictured on the model. i'm 5'7 and the sweater ends half an inch below knees. the side slit starts too high  my waist is exposed unless i wear high waisted leggings. other than that the sweater is darling. the cotton (68%) and acrylic (32%) thread is soft and thin  not bulky at all. the sweater stretches lightly with wear a,Fine gauge
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
1,This tank is fairly soft and fits true to size. i like that i can pick between a v or round neck  depending on my outfit. it truly offers a profile to layer with anything. the only complaint i have is that the edging wears faster than the rest of the tank. i've trimmed some pilling off of it to keep it looking neat. otherwise  this is one of my favorite tanks  and i have purchase two more so i can always find one when i want it.     this tank has some stretch  so i imagine it fits a range of siz,Intimates
1,"This is beautiful and fits perfect. it's even prettier in person  and extremely comfortable and high quality. i'm 5'3"" and it hits right above the knee. the straps are adjustable and fits true to size. i bought an xs and it fits perfect. must buy for a sweet little night gown!",Intimates
1,This bra is very cute and pretty comfortable. i usually wear between a 34d in elle mcpherson and this fit perfect. i got it in black and while it's really cute i was surprised how different the color looked in person vs. online. online it looked to me to have some purple to it  but it is definitely 100% black in person (just an fyi). i also thought the tassel was cute  but it does look a little cheap and flimsy in person. still a great bra.,Intimates
1,Well-made  gorgeous bra! the 'red' is more wine in person  which is great. this bra runs quite small--go up at least 1 band and 1 cup size. i got a 36c and it fits great! (i'm a 34b across brands like vs  etc.)   you'll feel extra saucy and a bit mischievous knowing you're wearing something this sexy.,Intimates
1,While there us no clasp and this bra does require you to pull it over your head  i did not find it to be too difficult. i love that the bra stays in place and that i do not have to constantly pull it up throughout the day! it's quite comfortable too. i wish i had ordered the same bra with the straps too before they sold out of my size!,Intimates
1,This is a very comfortable bralette- the silk covers one's most sensitive parts  so it feels like you are wearing almost nothing. it's very pretty  too. i wear a 34b bra and the small fits me. it doesn't have a lot of support  but it's very comfortable for wearing at home or on errands. the cups are a little far apart  but it still works. if you're looking for something pretty and comfortable for casual wear  i would recommend this at the sale price.,Intimates
1,Great piece just wish it fit a bit more blousy rather than cami,Intimates
1,I own many of the natori feathers back close bras and decided to try the front close version for spring/summer tops and dresses. i purchased the yellow and got the matching hipsters panty. i no longer see the yellow available but you could find elsewhere or maybe retailer will bring this color back (it is lovely!)? for sizing  i tried my normal size (34b) and the cup size larger per other reviews. the 34c did end up fitting better so i also recommend going up a cup size. excited for warmer weather,Intimates
1,I love panties. i love the prettiest  softest  most adore-worthy panties i can find. these are my favorite boy shorts--i can always put them on and feel pretty. no weird tight spots and the lace has a perfect amount of stretch. im a mom and my body isn't perfect anymore  but these panties give me confidence  with perfect coverage. i choose them more often than any other in my lingerie drawer. my only warning: wash these pretties as delicates  or the lovely lace colors will fade.,Intimates
-1,I usually like coats and wraps with high-waisted belts  but this way too high  and the fit was really unflattering. i can see it being chic on a tall  slender person  but it's definitely not right for my short  curvy body. returning it today.,Jackets
-1,"Runs extremely large. i got an xs and am 5'4"" 115lbs and this would have fit someone who typically wears a size 10-14 and is 5'6"" and above. very disappointed with the size. the quality of the fabric wasn't great either. i wanted it to work so bad but just didn't!",Jackets
-1,This jacket is just too small for me anyway and i am no way big. i am tall and athletic and this thing looked like it had shrunk in the wash. there are so many better fitting other types out there  this went back,Jackets
-1,"I didn't receive a jacket. i received a very expensive cardigan sweater with no structural qualities to it. jackets have some structure to them. for example they might nip in at the waist a bit. this cardigan doesn't do that. it hangs in a very boxy shape. the quality is great. very light weight and i really love the little pockets and details  but i don't need/want another cardigan.     i'm 5'5""  118 lbs and got a small. the small seemed big  but i think it would have fit fine if it had more st",Jackets
-1,I wanted to love this kimono...it is such a beautiful color and would work well with so many things in my wardrobe  but alas it went back due to the strange feel of the fabric...not a soft touch and because it runs small. i bought the m/l and usually wear a 12/14 but i couldn't bring the kimono together in the front (for a belting option).,Jackets
-1,This blazer looks great on the model and i have a long torso so i thought it would be perfect. when i got it it looked like a big box and didn't fit anywhere. the shoulder pads were giant and the bottom of the coat was huge. i got a small based on other reviews  but it was way too big. sadly  i had to return it.,Jackets
-1,The color is darker than shown (i ordered the denim looking one). the flower things are not very visible as it all looks one color. it must be great for the tall skinny model   but if your 5'4'' and pear shaped like me  it's a no go! took it back to my local store.,Jackets
-1,I was hesitant to buy this because it is double breasted which isn't my first choice. that was the least of the problems with this jacket. i love sparkle  and i love beautiful detail  none of the elements by themselves was a problem. the sum of the parts didn't work  though. the end result was an unflattering  confusing mess. the silhouette plus the frayed edges  plus the sequins plus the vent in back plus the huge buttons plus the double breast  plus the zipper were just too many things to go t,Jackets
-1,This is a beautiful vest. i love the color-blocking  the modern and structured style  and its versatility.  i bought it with a defective item discount because there were some stains. i promptly took it to the dry cleaners and was informed that the black would bleed onto the white paneling if they did a full wash. they spot-cleaned it  and it did bleed. although the tag says to dry clean this baby  the black dye will bleed to the white fabric. i'll be taking it back into the store today for a ref,Jackets
0,I was searching for the perfect large comfy sweater for the cold winter weather ahead and i thought this would be it. it looks so cute in the pictures but when i received in by mail it wasn't what i was searching for. this sweater  like on the model  is quite large. although i wanted a large sweater  the fit of this one didn't fit well on me. it has more of a boxy feel to it. i usually wear a medium  but went with a small because i expected this to fit a little large and it still engulfed me. i,Jackets
0,"I really  really wanted to love this jacket. unfortunately  i have a long torso and it was a weird length on me. it hit touching my waist and i wanted something a little longer. i am 5'6""  but long waisted. this probably fits beautifully on someone more short-waisted or petite in stature. it was beautiful (although the buttons were cheap...)",Jackets
0,"How can some reviewers say this jacket is true to size  yet others say it runs small? i think it's because this jacket is cropped. by the time i took advantage of the fall perks 20 percent discount  the xs peach was sold out so i ended up ordering size s. i also got the xs gray to compare. sure enough  the xs looks better but is cropped on me. for ref  i'm 5' 5""  32a  115 lbs. i don't really need another almost black jacket so i'm either sized out or have to exchange for xs peach to wear with dr",Jackets
0,I'm normally a 10/12 and ordered the m/l. the body was a little big but ok. the arms are really wide. there are snaps to make them tighter but it doesn't do much. i do like the embroidery. it's an ok jacket but the fit could have been better.,Jackets
0,Ordered this vest in both the xs and pxs. i liked the length and overall fit of the xs  however  i ended up returning both due to how the vest draped. the outer fabric is a bit more stiff which made the vest balloon out more then what i liked. overall  it?s not a terrible vest but just not for me.,Jackets
0,The colors on this jacket are a murky blue with a pale mauve tone for the lighter color. size is a bit on the large size. i did not feel that the jacket was that well-made and would hold up to much wear. i was looking for a jacket to dress up jeans  black pants etc and this did not fit that need. it would be a warm jacket if that is a need.,Jackets
0,"Loved the look of this wool and so well made! problem was it literally would have been better on a bed as a blanket than on my body as a blanket coat. just overwhelmed me and didn't look good. i'm 5/9"" and 160 lbs so i'm no shrinking violet just too heavy of fabric.",Jackets
0,I ordered two of these  the grey and ivory. i have had great luck with jackets and blazers from retailer. these were the exception. i just could not pull them off. the quality was great but they had little shape except being a bit boxy. i do have wider hips. maybe these would look better on someone tall and thin? for reference  i am 5'6 and about 138lbs. i ordered smalls and the sizing was perfect for me  the style was just off. i had to return both.,Jackets
0,The vest looks  so stylish on. it makes a regular t shirt look edgy with it on. i love the vest but the price is too high,Jackets
1,"Just received and sorry to return. i am 5'9"" i wear a size 8 i ordered the m/l . it way really big and to wide",Jackets
1,Perfect fall accessory and transitional piece for cooler days. classic red and black check with a fashion flair. great with jeans or dress it up with jewelry. a great find!,Jackets
